SITECODE	SITENAME	SITETYPE	flanders	wallonia	brussels
BE33008C0	Vallée de la Burdinale	C	FALSE	TRUE	FALSE
BE33010C0	Vallée de la Meuse à Huy et vallon de la Solières	C	FALSE	TRUE	FALSE
BE33047C0	Vallée de la Holzwarche	C	FALSE	TRUE	FALSE
BE33052C0	Ma Campagne au sud de Malmedy	C	FALSE	TRUE	FALSE
BE34024C0	Bassin inférieur de l'Ourthe orientale	C	FALSE	TRUE	FALSE
BE34025C0	Haute-Wimbe	C	FALSE	TRUE	FALSE
BE33055C0	Vallée de l'Emmels	C	FALSE	TRUE	FALSE
BE34010C0	Plaine de Ny	A	FALSE	TRUE	FALSE
BE34014C0	Fagne de la Crépale et prairies de Malempré	C	FALSE	TRUE	FALSE
BE34001C0	Vallée et affluents du Néblon	C	FALSE	TRUE	FALSE
BE33023C0	Vallée de la Soor	C	FALSE	TRUE	FALSE
BE33036C0	Fagnes de la Roer	C	FALSE	TRUE	FALSE
BE33067C0	Bois de Staneux	C	FALSE	TRUE	FALSE
BE34051C0	Vallées du Ruisseau de Mellier et de la Mandebras	C	FALSE	TRUE	FALSE
BE34035C0	Bassin supérieur de la Wiltz	C	FALSE	TRUE	FALSE
BE35025C0	La Famenne entre Eprave et Havrenne	C	FALSE	TRUE	FALSE
BE35026C0	Massif forestier de Cerfontaine	C	FALSE	TRUE	FALSE
BE35011C0	Vallée de la Molignée	C	FALSE	TRUE	FALSE
BE35021C0	Vallée de la Lesse en aval de Houyet	C	FALSE	TRUE	FALSE
BE34054C0	Bassin de la Marche	C	FALSE	TRUE	FALSE
BE34059C0	Vallées de l'Eisch et de Clairefontaine	C	FALSE	TRUE	FALSE
BE34063C0	Vallées de la Chevratte	C	FALSE	TRUE	FALSE
BE35019C0	Vallée de la Meuse en amont d'Hastière	C	FALSE	TRUE	FALSE
BE34053C0	Bassin de l'Attert	C	FALSE	TRUE	FALSE
BE34056C0	Bassin de la Semois de Etalle à Tintigny	C	FALSE	TRUE	FALSE
BE35029C0	Bassin fagnard de l'Hermeton	C	FALSE	TRUE	FALSE
BE35037C0	Vallée de la Wimbe	C	FALSE	TRUE	FALSE
BE35033B0	Vallée du Ruisseau d'Alisse	B	FALSE	TRUE	FALSE
BE35042C0	Vallée de l'Almache en amont de Gembes	C	FALSE	TRUE	FALSE
BE35023C0	Vallée de la Lesse entre Villers-sur-Lesse et Houyet	C	FALSE	TRUE	FALSE
BE35048C0	Vallée du Ruisseau de la Goutelle	C	FALSE	TRUE	FALSE
BE35031C0	Bassin ardennais de l'Eau Noire	C	FALSE	TRUE	FALSE
BE35045C0	Vallée de la Semois en aval d'Alle	C	FALSE	TRUE	FALSE
BEMNZ0005	Vlakte van de Raan	B	FALSE	FALSE	FALSE
BE1000002	Zones boisées et ouvertes au Sud de la Région bruxelloise - complexe Verrewinkel - Kinsendael	B	FALSE	FALSE	TRUE
BE2100045	Historische fortengordels van Antwerpen als vleermuizenhabitat.	B	TRUE	FALSE	FALSE
BE2100020	Heesbossen, Vallei van Marke en Merkske en Ringven met valleigronden langs de Heerlese Loop	B	TRUE	FALSE	FALSE
BE2200028	De Maten	B	TRUE	FALSE	FALSE
