taxonKey	year	obs	native_obs	ncells	native_ncells	fit	ucl	lcl	em1	em2	em	em_status	growth	method
3039194	2014	7	1248	5	53	2.636517877869958	4.516217407312385	1.5391700384204055	1	1	4	3	1.1053753701033489	correct_baseline
3039194	2015	7	2265	6	55	3.105211944801782	5.457171993057147	1.7669117327449224	1	1	4	3	1.107090449261802	correct_baseline
3039194	2016	5	1828	5	54	3.6784575612318835	6.738817372952984	2.0079265071186576	1	1	4	3	1.1087397488777893	correct_baseline
3039194	2017	4	3357	3	52	4.382825893686889	8.504467356563424	2.2587143919774566	1	1	4	3	1.1103350009751427	correct_baseline
3039194	2018	21	3259	11	55	5.252386186047769	10.960148142416672	2.5170791752913724	1	1	4	3	1.1118854568970535	correct_baseline
3039194	2019	8	769	7	41	6.331010630761952	14.4070571201771	2.7820876444424156	1	1	4	3	1.1133984834018875	correct_baseline
3039194	2020	0	0	0	0	7.675442012900455	19.292213941195676	3.0536884088558978	1	1	4	3	1.1148800009986142	correct_baseline
2705090	1968	1	88	1	10	0.5744140317339216	2.0952787601440024	0.15747378636632678	1	-1	2	2	1.0485459965127988	correct_baseline
2705090	1969	0	133	0	12	0.6796649647653747	2.120151237578674	0.217882788803823	1	-1	2	2	1.0473265649716588	correct_baseline
2705090	1970	0	76	0	19	0.7959011547718223	2.1626969500779962	0.29290217852495465	1	-1	2	2	1.0460111306832423	correct_baseline
2705090	1971	0	125	0	10	0.9224042324590453	2.225122422115486	0.38237427280493325	1	-1	2	2	1.0445748434521813	correct_baseline
2705090	1972	1	749	1	47	1.058014223361563	2.309898686636623	0.4846074433096842	1	-1	2	2	1.0429866921484177	correct_baseline
2705090	1973	0	329	0	34	1.20113321031286	2.4193205747827675	0.5963331209407914	1	-1	2	2	1.0412089516788197	correct_baseline
2705090	1974	0	251	0	30	1.3497631589613648	2.554748262661246	0.7131272430699513	1	-1	2	2	1.0391967169346146	correct_baseline
2705090	1975	1	261	1	38	1.5015790949756114	2.7156439325625787	0.8302781345638796	1	-1	2	2	1.0368976540184702	correct_baseline
2705090	1976	11	188	7	34	1.654034540742449	2.8987770462355957	0.9437877485341217	1	-1	2	2	1.0342524593816245	correct_baseline
2705090	1977	1	270	1	38	1.804491794750514	3.098068765389335	1.0510388515900884	1	-1	2	2	1.0311972224890533	correct_baseline
2705090	1978	0	204	0	30	1.95036604054917	3.305274853108074	1.1508657709813364	1	-1	2	2	1.027669998934293	correct_baseline
2705090	1979	0	393	0	41	2.0892700939098274	3.5112589063654656	1.2431579788641332	1	-1	2	2	1.0236249080118864	correct_baseline
2705090	1980	2	319	2	38	2.2191462753912066	3.707378677082831	1.3283267290779204	1	-1	2	2	1.0190559918894102	correct_baseline
2705090	1981	3	139	2	33	2.338373507551297	3.886597728367127	1.4068836146608406	1	-1	2	2	1.0140266452778488	correct_baseline
2705090	1982	5	375	5	41	2.4458409769544183	4.044146647070602	1.47920899181105	1	-1	2	2	1.008689256494482	correct_baseline
2705090	1983	5	317	4	40	2.540983963573515	4.177724046890702	1.545482523658578	1	-1	2	2	1.0032757518537017	correct_baseline
2705090	1984	0	581	0	49	2.623781964472266	4.287316743416023	1.6057203628964363	0	-1	-1	0	0.9980560386079091	correct_baseline
2705090	1985	1	429	1	51	2.6947232882137606	4.374757399832175	1.6598711508711659	0	-1	-1	0	0.9932852276777149	correct_baseline
2705090	1986	11	371	7	48	2.7547433087043953	4.443148382580633	1.707935464546445	0	0	0	1	0.9891645512515986	correct_baseline
2705090	1987	3	346	3	30	2.8051452431450983	4.496271601040387	1.7500810745771693	0	0	0	1	0.9858248987788534	correct_baseline
2705090	1988	0	395	0	51	2.8475126381661435	4.538080285336341	1.786730889428273	0	0	0	1	0.9833274851301048	correct_baseline
2705090	1989	1	284	1	45	2.8836219203324993	4.572334763528932	1.8186059878529877	0	0	0	1	0.9816729982520863	correct_baseline
2705090	1990	0	160	0	25	2.915361742814504	4.602406308698632	1.8467152879141777	0	0	0	1	0.9808136942016641	correct_baseline
2705090	1991	1	704	1	42	2.9446638345722813	4.631237841019146	1.872295355215397	0	0	0	1	0.9806664558171265	correct_baseline
2705090	1992	5	583	4	41	2.9734479908395475	4.661424092946568	1.8967149905124683	0	0	0	1	0.9811267488335103	correct_baseline
2705090	1993	1	349	1	47	3.0035820047685027	4.6953607396036725	1.9213656542459117	0	0	0	1	0.98208364033034	correct_baseline
2705090	1994	1	628	1	60	3.0368558927240046	4.735411860684788	1.9475589419668442	0	0	0	1	0.983434994118273	correct_baseline
2705090	1995	2	348	2	52	3.0749687714501723	4.7840540896686905	1.9764477508339795	0	0	0	1	0.9851003980109386	correct_baseline
2705090	1996	3	1781	3	54	3.1195261871117372	4.843968601865114	2.008981566959149	0	0	0	1	0.9870286128497398	correct_baseline
2705090	1997	4	896	3	87	3.1720455072347677	4.918064541255099	2.0459009058470934	0	0	0	1	0.9891974539831878	correct_baseline
2705090	1998	1	606	1	69	3.2339670775661022	5.009428015570676	2.0877719025552253	0	0	0	1	0.9916066065094872	correct_baseline
2705090	1999	8	821	6	69	3.306669126198736	5.121200147861107	2.1350582665125035	0	0	0	1	0.9942660761826295	correct_baseline
2705090	2000	1	446	1	68	3.3914847883245587	5.25639748406444	2.1882228473602754	0	0	0	1	0.9971833391599088	correct_baseline
2705090	2001	2	547	2	63	3.4897200661688084	5.417699068394907	2.2478447005786224	1	0	3	3	1.0003510318063191	correct_baseline
2705090	2002	7	640	6	67	3.6026719882429203	5.6072355982189945	2.3147316048201625	1	0	3	3	1.0037354754296055	correct_baseline
2705090	2003	7	845	7	65	3.7316466639343395	5.826424999698789	2.3900053334887486	1	0	3	3	1.0072654807787011	correct_baseline
