nubKey	key	dataset_scientificname	datasetKey	scientificName	kingdom	taxonomicStatus	acceptedKey	accepted
2927744	134088214	Phlox paniculata L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Phlox paniculata L.	Plantae	ACCEPTED	NA	NA
2927783	134088211	Phlox maculata L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Phlox maculata L.	Plantae	ACCEPTED	NA	NA
2927831	139343674	Polemonium	87e99777-7f54-4209-9688-cbf7a9179ebe	Polemonium L.	Plantae	ACCEPTED	NA	NA
2927850	134088209	Polemonium caeruleum L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Polemonium caeruleum L.	Plantae	ACCEPTED	NA	NA
2927850	128537459	Polemonium caeruleum L.	87e99777-7f54-4209-9688-cbf7a9179ebe	Polemonium caeruleum L.	Plantae	ACCEPTED	NA	NA
2928049	139343672	Phacelia	87e99777-7f54-4209-9688-cbf7a9179ebe	Phacelia	Plantae	DOUBTFUL	NA	NA
2928153	134087172	Phacelia purshii Buckl.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Phacelia purshii Buckl.	Plantae	ACCEPTED	NA	NA
2928226	134087171	Phacelia tanacetifolia Benth.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Phacelia tanacetifolia Benth.	Plantae	ACCEPTED	NA	NA
2928226	128537456	Phacelia tanacetifolia Benth.	87e99777-7f54-4209-9688-cbf7a9179ebe	Phacelia tanacetifolia Benth.	Plantae	ACCEPTED	NA	NA
2928238	134087173	Phacelia campanularia A. Gray	9ff7d317-609b-4c08-bd86-3bc404b77c42	Phacelia campanularia A. Gray	Plantae	ACCEPTED	NA	NA
2928386	139343676	Convolvulus	87e99777-7f54-4209-9688-cbf7a9179ebe	Convolvulus L.	Plantae	ACCEPTED	NA	NA
2928390	128537462	Convolvulus arvensis L.	87e99777-7f54-4209-9688-cbf7a9179ebe	Convolvulus arvensis L.	Plantae	ACCEPTED	NA	NA
2928418	139343678	Calystegia	87e99777-7f54-4209-9688-cbf7a9179ebe	Calystegia R. Br.	Plantae	ACCEPTED	NA	NA
2928441	128537471	Calystegia sepium (L.) R. Br.	87e99777-7f54-4209-9688-cbf7a9179ebe	Calystegia sepium (L.) R. Br.	Plantae	ACCEPTED	NA	NA
2928560	134087043	Ipomoea coccinea L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Ipomoea coccinea L.	Plantae	SYNONYM	7519113	Ipomoea rubriflora O'Donell
2928576	134087030	Ipomoea purpurea (L.) Roth	9ff7d317-609b-4c08-bd86-3bc404b77c42	Ipomoea purpurea (L.) Roth	Plantae	ACCEPTED	NA	NA
2928583	134087046	Ipomoea x leucantha Jacq.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Ipomoea leucantha Jacq.	Plantae	ACCEPTED	NA	NA
2928589	134087031	Ipomoea tricolor Cav.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Ipomoea tricolor Cav.	Plantae	ACCEPTED	NA	NA
2928613	134087028	Ipomoea wrightii A. Gray	9ff7d317-609b-4c08-bd86-3bc404b77c42	Ipomoea wrightii A. Gray	Plantae	ACCEPTED	NA	NA
2928622	134087045	Ipomoea hederacea (L.) Jacq. var. integriuscula A. Gray	9ff7d317-609b-4c08-bd86-3bc404b77c42	Ipomoea hederacea var. integriuscula A.Gray	Plantae	SYNONYM	2928538	Ipomoea hederacea (L.) Jacquin
2928624	134087044	Ipomoea hederifolia L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Ipomoea hederifolia L.	Plantae	ACCEPTED	NA	NA
2928668	134087041	Dichondra argentea Humb. & Bonpl. ex Willd.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Dichondra argentea Humb. & Bonpl. ex Willd.	Plantae	ACCEPTED	NA	NA
2928734	139343700	Datura	87e99777-7f54-4209-9688-cbf7a9179ebe	Datura L.	Plantae	ACCEPTED	NA	NA
2928751	134087792	Datura stramonium L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Datura stramonium L.	Plantae	ACCEPTED	NA	NA
2928751	128537529	Datura stramonium L.	87e99777-7f54-4209-9688-cbf7a9179ebe	Datura stramonium L.	Plantae	ACCEPTED	NA	NA
2928755	134087781	Datura innoxia Mill.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Datura innoxia P. Miller	Plantae	ACCEPTED	NA	NA
2928759	134087776	Nicotiana langsdorffii J.A. Weinm.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Nicotiana langsdorffii Weinm.	Plantae	DOUBTFUL	NA	NA
2928761	134087790	Nicotiana alata Link & Otto	9ff7d317-609b-4c08-bd86-3bc404b77c42	Nicotiana alata Link & Otto	Plantae	ACCEPTED	NA	NA
2928766	134087777	Nicotiana longiflora Cav.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Nicotiana longiflora Cav.	Plantae	ACCEPTED	NA	NA
2928767	134087774	Nicotiana sylvestris Spegazz.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Nicotiana sylvestris Speg.	Plantae	ACCEPTED	NA	NA
2928774	134087819	Nicotiana tabacum L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Nicotiana tabacum L.	Plantae	ACCEPTED	NA	NA
2928775	134087778	Nicotiana rustica L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Nicotiana rustica L.	Plantae	ACCEPTED	NA	NA
2928779	134087789	Nicotiana forgetiana Hemsl.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Nicotiana forgetiana Hort. Sand. ex Hemsl.	Plantae	ACCEPTED	NA	NA
2928783	134087775	Nicotiana glauca Graham	9ff7d317-609b-4c08-bd86-3bc404b77c42	Nicotiana glauca R. C. Graham	Plantae	ACCEPTED	NA	NA
2928808	139343697	Lycium	87e99777-7f54-4209-9688-cbf7a9179ebe	Lycium L.	Plantae	ACCEPTED	NA	NA
2928809	134087788	Lycium chinense Mill.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Lycium chinense Miller	Plantae	ACCEPTED	NA	NA
