taxonKey	canonicalName	kingdom	class	year_2018_em_status_occupancy_pa	year_2018_em_status_observations_pa	year_2018_em_status_occupancy_BE	year_2018_em_status_observations_BE	year_2017_em_status_occupancy_pa	year_2017_em_status_observations_pa	year_2017_em_status_occupancy_BE	year_2017_em_status_observations_BE	year_2016_em_status_occupancy_pa	year_2016_em_status_observations_pa	year_2016_em_status_occupancy_BE	year_2016_em_status_observations_BE	mean_growth	kingdomKey	classKey
9153437	Salix daphnoides	Plantae	Magnoliopsida	2	2	2	3	2	2	2	2	1	1	1	1	NaN	6	220
5229205	Eudocimus albus	Animalia	Aves	2	2	2	3	1	1	2	3	1	1	2	3	1.0463928450467213	1	212
2498156	Anas undulata	Animalia	Aves	2	2	2	2	3	3	3	3	3	3	3	3	NaN	1	212
7127810	Cyclamen hederifolium	Plantae	Magnoliopsida	2	2	2	2	3	3	3	3	2	2	3	3	NaN	6	220
9606290	Meleagris gallopavo	Animalia	Aves	2	2	2	2	3	3	3	3	1	1	3	3	NaN	1	212
5384932	Saururus cernuus	Plantae	Magnoliopsida	2	2	2	2	3	3	2	2	1	1	1	1	NaN	6	220
2474936	Anthropoides virgo	Animalia	Aves	2	2	2	2	3	2	3	3	1	1	1	1	NaN	1	212
2473341	Numida meleagris	Animalia	Aves	2	2	2	2	3	2	2	2	1	1	2	2	NaN	1	212
2685361	Abies grandis	Plantae	Pinopsida	2	2	2	2	2	3	2	3	3	3	3	3	NaN	6	194
2882849	Vaccinium corymbosum	Plantae	Magnoliopsida	2	2	2	2	2	2	2	2	3	3	3	3	NaN	6	220
3036033	Hedera colchica	Plantae	Magnoliopsida	2	2	2	2	2	2	2	2	3	3	3	3	NaN	6	220
7291264	Bistorta amplexicaulis	Plantae	Magnoliopsida	2	2	2	2	2	2	2	2	3	3	3	3	NaN	6	220
3020871	Prunus lusitanica	Plantae	Magnoliopsida	2	2	2	2	2	2	2	2	3	3	2	2	NaN	6	220
2718302	Bolboschoenus yagara	Plantae	Liliopsida	2	2	2	2	2	2	2	2	2	2	2	2	NaN	6	196
5228033	Chrysolophus amherstiae	Animalia	Aves	2	2	2	2	2	2	2	2	1	1	2	2	NaN	1	212
3170040	Gentiana lutea	Plantae	Magnoliopsida	2	2	2	2	2	1	2	1	3	3	3	3	NaN	6	220
5371605	Tolmiea menziesii	Plantae	Magnoliopsida	2	2	2	2	1	2	1	2	3	3	3	3	NaN	6	220
3026162	Cotoneaster franchetii	Plantae	Magnoliopsida	2	2	2	2	1	2	1	1	2	2	2	2	NaN	6	220
3033261	Anemone coronaria	Plantae	Magnoliopsida	2	2	2	2	1	1	2	2	1	1	3	3	NaN	6	220
2433652	Neovison vison	Animalia	Mammalia	2	2	2	2	1	1	2	2	1	1	2	2	NaN	1	359
4285968	Ponticola kessleri	Animalia	Actinopterygii	2	2	2	2	1	1	1	1	3	2	3	3	NaN	1	204
5582033	Salix udensis	Plantae	Magnoliopsida	2	2	2	2	1	1	1	1	1	1	2	2	NaN	6	220
4416920	Synurella ambulans	Animalia	Malacostraca	2	2	2	2	0	2	0	2	0	3	0	3	NaN	1	229
5231398	Leiothrix lutea	Animalia	Aves	2	2	2	2	0	0	1	1	0	1	1	1	NaN	1	212
2481936	Mycteria ibis	Animalia	Aves	2	2	2	2	0	0	0	0	0	0	0	0	NaN	1	212
2498107	Anas formosa	Animalia	Aves	2	2	2	1	2	2	2	1	1	1	1	1	0.6782119547414938	1	212
7697298	Lonicera japonica Thunb. ex Murray	Plantae	Magnoliopsida	2	2	2	1	2	2	2	1	1	1	1	1	0.6356003498666	6	220
7915783	Oenothera fallax	Plantae	Magnoliopsida	2	2	2	1	2	2	1	1	2	2	2	1	0.8073608081008328	6	220
2701612	Juncus ensifolius	Plantae	Liliopsida	2	2	2	1	1	3	3	3		1	1	1	NaN	6	196
2379245	Proterorhinus semilunaris	Animalia	Actinopterygii	2	2	2	1	1	1	1	1	2	2	2	1	NaN	1	204
2888867	Rheum rhabarbarum	Plantae	Magnoliopsida	2	2	2	0	3	3	3	0	0	0	2	0	0.7197162851856435	6	220
3981543	Berberis julianae	Plantae	Magnoliopsida	2	2	2	0	3	3	2	0	3	3	2	0	0.7140777317849129	6	220
3172348	Fraxinus pennsylvanica	Plantae	Magnoliopsida	2	2	2	0	3	3	2	0	1	1	1	0	0.5392134311017922	6	220
3088310	Petasites japonicus	Plantae	Magnoliopsida	2	2	2	0	3	2	2	0	1	1	2	0	0.7809124669662433	6	220
3098912	Cosmos bipinnatus	Plantae	Magnoliopsida	2	2	2	0	2	3	3	0	1	1	2	2	0.9977521613323294	6	220
2362030	Ctenopharyngodon idella	Animalia	Actinopterygii	2	2	2	0	2	3	2	0	1	1	2	0	0.8321477441315335	1	204
2687210	Tsuga heterophylla	Plantae	Pinopsida	2	2	2	0	2	2	2	0	3	2	3	0	0.5789154194851481	6	194
2684171	Thuja plicata	Plantae	Pinopsida	2	2	2	0	2	2	2	0	2	2	2	0	0.9282454738150964	6	194
5228034	Chrysolophus pictus	Animalia	Aves	2	2	2	0	1	1	2	0	2	2	2	0	0.8271704155204537	1	212
6100996	Crithagra mozambica	Animalia	Aves	2	2	2	0	0	0	2	0	0	0	2	0	0.6661269544367096	1	212
5356541	Lathyrus heterophyllus	Plantae	Magnoliopsida	2	2	1	2	3	3	3	3	1	1	3	3	NaN	6	220
