taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2018_em_status_occupancy_pa	year_2018_em_status_occurrences_pa	year_2018_em_status_occupancy_BE	year_2018_em_status_occurrences_BE	year_2017_em_status_occupancy_pa	year_2017_em_status_occurrences_pa	year_2017_em_status_occupancy_BE	year_2017_em_status_occurrences_BE	year_2016_em_status_occupancy_pa	year_2016_em_status_occurrences_pa	year_2016_em_status_occupancy_BE	year_2016_em_status_occurrences_BE	kingdomKey	classKey
2747567	Crocus vernus	Plantae	Liliopsida	66	1.2958496525729037	3	3	2	3	3	3	2	3	3	3	2	3	6	196
3147815	Verbesina alternifolia	Plantae	Magnoliopsida	66	NaN	3	3	3	3	3	3	2	2	3	3	2	2	6	220
6096602	Lophocolea semiteres	Plantae	Jungermanniopsida	66	NaN	3	3	3	3	2	3	2	2	3	3	3	3	6	126
1031394	Ectopsocus petersi	Animalia	Insecta	66	NaN	3	3	3	3	3	3	3	3	2	2	2	2	1	216
5414239	Ilex crenata	Plantae	Magnoliopsida	66	NaN	3	3	3	3	2	3	2	2	3	3	3	3	6	220
5189713	Menetus dilatatus	Animalia	Gastropoda	65.5	1.0642436183374893	3	3	1	3	3	3	3	3	3	3	2	3	1	225
2498344	Cygnus atratus	Animalia	Aves	65	1.0323293108406957	3	3	2	3	3	3	2	3	3	3	2	2	1	212
3033242	Anemone blanda	Plantae	Magnoliopsida	65	0.9988200501222151	3	3	3	1	3	3	3	1	3	3	3	3	6	220
5334240	Lonicera japonica	Plantae	Magnoliopsida	65	NaN	3	3	3	3	2	2	3	3	3	3	2	2	6	220
8599762	Aproceros leucopoda	Animalia	Insecta	65	NaN	3	3	3	3	3	2	3	3	3	3	1	1	1	216
5284982	Pinus strobus	Plantae	Pinopsida	64.5	1.095411755047546	2	3	3	3	2	2	3	3	3	3	3	3	6	194
2704523	Cortaderia selloana	Plantae	Liliopsida	64	1.1260561450762823	2	2	3	3	2	3	3	3	3	3	3	3	6	196
4046493	Polystichum luctuosum	Plantae	Polypodiopsida	64	NaN	3	3	2	2	3	2	3	3	3	3	2	3	6	7228684
2684984	Araucaria araucana	Plantae	Pinopsida	63.5	NaN	3	3	3	3	3	3	3	2	1	1	3	3	6	194
2772885	Ornithogalum pyramidale	Plantae	Liliopsida	63	1.12501450516674	3	3	3	3	1	1	3	3	3	3	3	3	6	196
3170823	Paulownia tomentosa	Plantae	Magnoliopsida	63	1.1110925993508718	3	1	3	3	3	1	3	3	3	3	3	3	6	220
