taxonKey,scientificName,kingdom,phylum,order,class,genus,family,species,rank,includes
5696981,Taraxacum molybdolepis Dahlst.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum molybdolepis,SPECIES,5696981: Taraxacum molybdolepis Dahlst.
5697216,Taraxacum luteoviride M.P.Christ.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum luteoviride,SPECIES,5697216: Taraxacum luteoviride M.P.Christ.
5697389,Taraxacum lawalreei Soest,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum lawalreei,SPECIES,5697389: Taraxacum lawalreei Soest
5697458,"Taraxacum lancidens Hagend., Soest & Zevenb.",Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum lancidens,SPECIES,"5697458: Taraxacum lancidens Hagend., Soest & Zevenb."
5697465,Taraxacum lamprophyllum M.P.Christ.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum lamprophyllum,SPECIES,5697465: Taraxacum lamprophyllum M.P.Christ.
5697509,Taraxacum lacerifolium G.E.Haglund,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum lacerifolium,SPECIES,5697509: Taraxacum lacerifolium G.E.Haglund
5697554,"Taraxacum kernianum Soest, Hagendijk & Zevenb.",Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum kernianum,SPECIES,"5697554: Taraxacum kernianum Soest, Hagendijk & Zevenb."
5697718,"Taraxacum incisiforme Hagendijk, Soest & Zevenb.",Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum incisiforme,SPECIES,"5697718: Taraxacum incisiforme Hagendijk, Soest & Zevenb."
5697799,Taraxacum hygrophilum Soest,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum hygrophilum,SPECIES,5697577: Taraxacum johannis-jansenii van Soest | 5697799: Taraxacum hygrophilum Soest
5697943,Taraxacum hamatum Raunk.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum hamatum,SPECIES,5697943: Taraxacum hamatum Raunk.
5697946,"Taraxacum hamatulum Hagend., Soest & Zevenb.",Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum hamatulum,SPECIES,"5697946: Taraxacum hamatulum Hagend., Soest & Zevenb."
5698060,Taraxacum glauciniforme Dahlst.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum glauciniforme,SPECIES,5698060: Taraxacum glauciniforme Dahlst.
5698237,"Taraxacum flandricum Hagend., Soest & Zevenb.",Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum flandricum,SPECIES,"5698237: Taraxacum flandricum Hagend., Soest & Zevenb."
5698438,Taraxacum duplidentifrons Dahlst.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum duplidentifrons,SPECIES,6082569: Taraxacum raunkiaeri Wiinst.
5698445,Taraxacum dunense Soest,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum dunense,SPECIES,5698445: Taraxacum dunense Soest
5698569,"Taraxacum denticulatum Hagend., Soest & Zevenb.",Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum denticulatum,SPECIES,"5698569: Taraxacum denticulatum Hagend., Soest & Zevenb."
5698636,Taraxacum cuspidifrons Markl.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum cuspidifrons,SPECIES,5698636: Taraxacum cuspidifrons Markl.
5698682,Taraxacum corynodes G.E.Haglund,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum corynodes,SPECIES,5698682: Taraxacum corynodes G.E.Haglund
5698786,Taraxacum chlorodes G.E.Haglund,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum chlorodes,SPECIES,5698786: Taraxacum chlorodes G.E.Haglund
5698886,"Taraxacum calochroum Hagend., Soest & Zevenb.",Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum calochroum,SPECIES,"5698886: Taraxacum calochroum Hagend., Soest & Zevenb."
5699146,"Taraxacum atonolobum Hagend., Soest & Zevenb.",Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum atonolobum,SPECIES,"5699146: Taraxacum atonolobum Hagend., Soest & Zevenb."
5699195,"Taraxacum armatifrons Hagend., Soest & Zevenb.",Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum armatifrons,SPECIES,"5699195: Taraxacum armatifrons Hagend., Soest & Zevenb."
5699306,Taraxacum anglicum Dahlst.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum anglicum,SPECIES,5699306: Taraxacum anglicum Dahlst.
5699331,Taraxacum ancistrolobum Dahlst.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum ancistrolobum,SPECIES,5699331: Taraxacum ancistrolobum Dahlst.
5699384,Taraxacum altissimum H.Lindb.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum altissimum,SPECIES,5699384: Taraxacum altissimum H.Lindb.
5699449,Taraxacum aginnense J.Hofstra,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum aginnense,SPECIES,5699449: Taraxacum aginnense J.Hofstra
5699466,Taraxacum aequisectum M.P.Christ.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum aequisectum,SPECIES,5699466: Taraxacum aequisectum M.P.Christ.
5699467,Taraxacum aequilobum Dahlst.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum aequilobum,SPECIES,5699467: Taraxacum aequilobum Dahlst.
5701167,"Taraxacum aberrans Hagend., Soest & Zevenb.",Plantae,Tracheophyta,Asterales,Magnoliopsida,Taraxacum,Asteraceae,Taraxacum aberrans,SPECIES,"5701167: Taraxacum aberrans Hagend., Soest & Zevenb."
5701337,Dahlia cultorum Thorsrud & Reisaeter,Plantae,Tracheophyta,Asterales,Magnoliopsida,Dahlia,Asteraceae,Dahlia cultorum,SPECIES,5701337: Dahlia cultorum Thorsrud & Reisaeter
5706486,"Glis glis (Linnaeus, 1766)",Animalia,Chordata,Rodentia,Mammalia,Glis,Gliridae,Glis glis,SPECIES,"2439660: Myoxus glis (Linnaeus, 1766)"
5706764,"Myodes glareolus (Schreber, 1780)",Animalia,Chordata,Rodentia,Mammalia,Myodes,Cricetidae,Myodes glareolus,SPECIES,"2439140: Clethrionomys glareolus (Schreber, 1780) | 5706764: Myodes glareolus (Schreber, 1780)"
5708780,Barbarea vulgaris W.T.Aiton,Plantae,Tracheophyta,Brassicales,Magnoliopsida,Barbarea,Brassicaceae,Barbarea vulgaris,SPECIES,5374656: Barbarea vulgaris subsp. arcuata (Opiz) Hayek | 5374657: Barbarea vulgaris subsp. vulgaris | 5708780: Barbarea vulgaris W.T.Aiton
5708806,Nasturtium officinale W.T.Aiton,Plantae,Tracheophyta,Brassicales,Magnoliopsida,Nasturtium,Brassicaceae,Nasturtium officinale,SPECIES,3047558: Rorippa nasturtium-aquaticum (L.) Hayek | 5708806: Nasturtium officinale W.T.Aiton | 7701037: Nasturtium officinale R.Br.
5710058,Sphaerocarpos texanus Austin,Plantae,Marchantiophyta,Sphaerocarpales,Marchantiopsida,Sphaerocarpos,Sphaerocarpaceae,Sphaerocarpos texanus,SPECIES,5710058: Sphaerocarpos texanus Austin
5710130,Kurzia pauciflora (Dicks.) Grolle,Plantae,Marchantiophyta,Jungermanniales,Jungermanniopsida,Kurzia,Lepidoziaceae,Kurzia pauciflora,SPECIES,5710130: Kurzia pauciflora (Dicks.) Grolle
5710147,Diplophyllum obtusifolium (Hook.) Dumort.,Plantae,Marchantiophyta,Jungermanniales,Jungermanniopsida,Diplophyllum,Scapaniaceae,Diplophyllum obtusifolium,SPECIES,5710147: Diplophyllum obtusifolium (Hook.) Dumort.
5710210,Porella cordaeana (Huebener) Moore,Plantae,Marchantiophyta,Porellales,Jungermanniopsida,Porella,Porellaceae,Porella cordaeana,SPECIES,5710210: Porella cordaeana (Huebener) Moore
5710217,Metzgeria temperata Kuwah.,Plantae,Marchantiophyta,Metzgeriales,Jungermanniopsida,Metzgeria,Metzgeriaceae,Metzgeria temperata,SPECIES,5710217: Metzgeria temperata Kuwah.
5710583,Dicranella rufescens (Dicks.) Schimp.,Plantae,Bryophyta,Dicranales,Bryopsida,Dicranella,Dicranaceae,Dicranella rufescens,SPECIES,5710583: Dicranella rufescens (Dicks.) Schimp.
5710985,Timmia bavarica Hessl.,Plantae,Bryophyta,Bryales,Bryopsida,Timmia,Timmiaceae,Timmia bavarica,SPECIES,7406122: Timmia megapolitana subsp. bavarica (Hessl.) Brassard
5711143,Didymodon luridus Hornsch.,Plantae,Bryophyta,Pottiales,Bryopsida,Didymodon,Pottiaceae,Didymodon luridus,SPECIES,5711143: Didymodon luridus Hornsch.
5711152,Didymodon acutus (Brid.) K.Saito,Plantae,Bryophyta,Pottiales,Bryopsida,Didymodon,Pottiaceae,Didymodon acutus,SPECIES,5711152: Didymodon acutus (Brid.) K.Saito
5712338,"Liparis liparis (Linnaeus, 1766)",Animalia,Chordata,Scorpaeniformes,Actinopterygii,Liparis,Liparidae,Liparis liparis,SPECIES,"5712338: Liparis liparis (Linnaeus, 1766) | 7193457: Liparis liparis liparis"
5712981,"Coccus hesperidum Linnaeus, 1758",Animalia,Arthropoda,Hemiptera,Insecta,Coccus,Coccidae,Coccus hesperidum,SPECIES,"5712981: Coccus hesperidum Linnaeus, 1758"
5713146,"Anthonomus pumorum (Linnaeus, 1758)",Animalia,Arthropoda,Coleoptera,Insecta,Anthonomus,Curculionidae,Anthonomus pumorum,SPECIES,"5713146: Anthonomus pumorum (Linnaeus, 1758)"
5714690,"Plebejus idas (Linnaeus, 1761)",Animalia,Arthropoda,Lepidoptera,Insecta,Plebejus,Lycaenidae,Plebejus idas,SPECIES,"1926861: Lycaeides idas (Linnaeus, 1761) | 5714690: Plebejus idas (Linnaeus, 1761)"
5714973,"Xestia c-nigrum (Linnaeus, 1758)",Animalia,Arthropoda,Lepidoptera,Insecta,Xestia,Noctuidae,Xestia c-nigrum,SPECIES,"5714973: Xestia c-nigrum (Linnaeus, 1758)"
5716132,"Corystes cassivelaunus (Pennant, 1777)",Animalia,Arthropoda,Decapoda,Malacostraca,Corystes,Corystidae,Corystes cassivelaunus,SPECIES,"5716132: Corystes cassivelaunus (Pennant, 1777)"
5716406,"Dyschirius salinus Schaum, 1843",Animalia,Arthropoda,Coleoptera,Insecta,Dyschirius,Carabidae,Dyschirius salinus,SPECIES,"5716406: Dyschirius salinus Schaum, 1843"
5716410,"Calathus mollis (Marsham, 1802)",Animalia,Arthropoda,Coleoptera,Insecta,Calathus,Carabidae,Calathus mollis,SPECIES,"5716410: Calathus mollis (Marsham, 1802)"
5716418,Dolichosoma lineare (Rossi),Animalia,Arthropoda,Coleoptera,Insecta,Dolichosoma,Melyridae,Dolichosoma lineare,SPECIES,5716418: Dolichosoma lineare (Rossi)
5716419,"Cassida vittata Villiers, 1789",Animalia,Arthropoda,Coleoptera,Insecta,Cassida,Chrysomelidae,Cassida vittata,SPECIES,"5716419: Cassida vittata Villiers, 1789"
5716472,"Ephemera danica Müller, 1764",Animalia,Arthropoda,Ephemeroptera,Insecta,Ephemera,Ephemeridae,Ephemera danica,SPECIES,"5716472: Ephemera danica Müller, 1764"
5716791,"Diogenes pugilator Roux, 1828",Animalia,Arthropoda,Decapoda,Malacostraca,Diogenes,Diogenidae,Diogenes pugilator,SPECIES,"5716791: Diogenes pugilator Roux, 1828"
5717193,"Nototropis falcatus (Metzger, 1871)",Animalia,Arthropoda,Amphipoda,Malacostraca,Nototropis,Atylidae,Nototropis falcatus,SPECIES,"5177702: Atylus falcatus Metzger, 1871 | 5717193: Nototropis falcatus (Metzger, 1871)"
5718687,"Paracyclops imminutus Kiefer, 1929",Animalia,Arthropoda,Cyclopoida,Hexanauplia,Paracyclops,Cyclopidae,Paracyclops imminutus,SPECIES,"5718687: Paracyclops imminutus Kiefer, 1929"
5719224,"Megacyclops languidoides (Lilljeborg, 1901)",Animalia,Arthropoda,Cyclopoida,Hexanauplia,Megacyclops,Cyclopidae,Megacyclops languidoides,SPECIES,"2117001: Diacyclops languidoides (Lilljeborg, 1901)"
5720764,"Cyanea lamarckii Péron & Lesueur, 1810",Animalia,Cnidaria,Semaeostomeae,Scyphozoa,Cyanea,Cyaneidae,Cyanea lamarckii,SPECIES,"5720764: Cyanea lamarckii Péron & Lesueur, 1810"
5721666,"Gyrodactylus micropsi Glaser, 1974",Animalia,Platyhelminthes,Gyrodactylidea,Monogenea,Gyrodactylus,Gyrodactylidae,Gyrodactylus micropsi,SPECIES,"5721666: Gyrodactylus micropsi Glaser, 1974"
